Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
AP2822CKATR-G1	AP2822CKATR-G1DITR-ND	IC PWR SWITCH N-CHAN 1:1 SOT23-5	Diodes Incorporated	Tape & Reel (TR)	8mm x 2mm	0.12398
AP2822AKATR-G1	AP2822AKATR-G1DITR-ND	IC PWR SWITCH N-CHAN 1:1 SOT23-5	Diodes Incorporated	Tape & Reel (TR)	8mm x 2mm	0.11272
AP2151WG-7	AP2151WGDITR-ND	IC PWR SWITCH P-CHAN 1:1 SOT25	Diodes Incorporated	Tape & Reel (TR)	8mm x 2mm	
AP2151FMG-7	AP2151FMG-7DICT-ND	IC PWR SWITCH P-CHANNEL 1:1 6DFN				0.27574
AP3417CDNTR-G1	AP3417CDNTR-G1DICT-ND	IC REG BUCK ADJUSTABLE 1A 6DFN				0.24444
LM317LCPK	296-26093-1-ND	IC REG LIN POS ADJ 100MA SOT89-3				0.323
LP3982ILD-ADJ/NOPB	LP3982ILD-ADJ/NOPBCT-ND	IC REG LIN POS ADJ 300MA 8WSON				0.352
LP3878SD-ADJ/NOPB	LP3878SD-ADJ/NOPBDKR-ND	IC REG LIN POS ADJ 800MA 8WSON				1.26
L78L33ACUTR	497-1200-6-ND	IC REG LINEAR 3.3V 100MA SOT89-3				0.23656
ADAU7002ACBZ-R7	ADAU7002ACBZ-R7CT-ND	IC SAMPLE RATE CONVERTER 8WLCSP				1.3
TS3A24159YZPR	296-22714-1-ND	IC SWITCH DUAL SPDT 10DSBGA				0.7289
TS5A23166YZPR	296-21182-6-ND	IC SWITCH DUAL SPST 8DSBGA				0.508
TS3A44159RSVR	296-24792-1-ND	IC SWITCH QUAD SPDT 16UQFN				0.693
"74LVC4066BQ,115"	1727-3499-1-ND	IC SWITCH QUAD SPST 14DHVQFN				0.364
TS3A4751RUCR	296-24478-1-ND	IC SWITCH QUAD SPST 14QFN				0.8321
AD8495ARMZ	AD8495ARMZ-ND	IC THERMOCOUPLE A W/COMP 8MSOP				4.9188
KSZ8081RNACA	KSZ8081RNACA-ND	IC TRANSCEIVER FULL 1/1 24QFN	Microchip Technology	Tray	12mm x 4mm	
KSZ8091RNDCA-TR	KSZ8091RNDCA-CT-ND	IC TRANSCEIVER FULL 1/1 24QFN	Microchip Technology	Tray	12mm x 4mm	0.924
KSZ8081RNACA-TR	576-4173-6-ND	IC TRANSCEIVER FULL 1/1 24QFN	Microchip Technology	Tray	12mm x 4mm	0.85
KSZ8091MLXCA	KSZ8091MLXCA-ND	IC TRANSCEIVER FULL 48LQFP				1.008
SN74LVC8T245RHLR	296-18595-6-ND	IC TRNSLTR BIDIRECTIONAL 24VQFN				0.7873
"74LVCH2T45GT,115"	1727-4599-6-ND	IC TRNSLTR BIDIRECTIONAL 8XSON				0.308
FT232RL-REEL	768-1007-6-ND	IC USB FS SERIAL UART 28-SSOP		Tape & Reel (TR)	24mm x 4mm	3.99
CP2102N-A02-GQFN28R	336-5890-6-ND	IC USB TO UART BRIDGE QFN28	Silicon Labs	Tape & Reel (TR)	12mm x 4mm	1.4
LM4040C30IDCKR	296-20888-1-ND	IC VREF SHUNT 0.5% SC70-5				0.4902
TLVH431AQDBZR	296-17972-1-ND	IC VREF SHUNT 18V 1% SOT23-3				0.4559
SRF1260-220M	SRF1260-220MCT-ND	INDUCT ARRAY 2 COIL 22UH SMD				0.846
NBN4-F29-E0	2046-NBN4-F29-E0-ND	INDUCTIVE SEN 4MM NPN				60.306
NBB8-18GM50-E0	2046-NBB8-18GM50-E0-ND	INDUCTIVE SEN 8MM NPN				114.264
NHD-C12832A1Z-FSW-FBW-3V3	NHD-C12832A1Z-FSW-FBW-3V3-ND	LCD COG GRAPHIC 128X32				11.53
150040VS73240	732-11992-1-ND	LED GREEN CLEAR 0402 SMD				0.229
LG R971-KN-1	475-1410-2-ND	LED GREEN DIFFUSED 0805 SMD				0.04506
SML-LX0404SIUPGUSB	67-2125-1-ND	LED RGB CLEAR SMD				0.3495
CQ4LF-1.0	CQ4LF-1.0-ND	LIQUID FLUX NO-CLEAN IN 30ML (1.				14.95
BSS84DW-7-F	BSS84DW-FDICT-ND	MOSFET 2P-CH 50V 0.13A SC70-6				0.1111
BSS138	BSS138TR-ND	MOSFET N-CH 50V 220MA SOT-23	ON Semiconductor	Tape & Reel (TR)	8mm x 2mm	
BSS138	BSS138CT-ND	MOSFET N-CH 50V 220MA SOT-23				0.05075
DMN5L06WK-7	DMN5L06WKDICT-ND	MOSFET N-CH 50V 300MA SC70-3				0.101
DMG3415UFY4Q-7	DMG3415UFY4Q-7DICT-ND	MOSFET P-CH 16V 2.5A X2-DFN2015				0.2386
FDN340P	FDN340PCT-ND	MOSFET P-CH 20V 2A SSOT3				0.15034
SFH6345-X007	SFH6345-X007-ND	OPTOISOLATOR 5.3KV TRANS 8SMD				1.0476
PS2501L-1-F3-H-A	559-1075-1-ND	OPTOISOLATOR 5KV TRANS 4SMD				0.351
